"","Cluster.Lat","Cluster.Long","Cluster","Total.Counts"
"1",40.5429678013215,-74.1819803898571,49,28
"2",40.5754697998959,-73.9960209275,119,48
"3",40.5799664817354,-73.9805351089999,74,68
"4",40.5813188989092,-73.9642969666932,123,88
"5",40.5820172087501,-74.10940977075,71,40
"6",40.5832321317334,-73.8299232451333,31,15
"7",40.5929542219445,-73.7961861316666,145,18
"8",40.5931686431501,-73.9418563580833,12,60
"9",40.6010252106163,-73.9824329471512,102,86
"10",40.6012834447552,-73.755976331102,63,49
"11",40.6048109535589,-73.9558398951323,134,68
"12",40.6062750601837,-74.0015850979591,78,49
"13",40.616024936898,-73.9216307232449,38,49
"14",40.6205170430812,-73.9391316737567,69,37
"15",40.6216030397743,-74.0301298145161,116,31
"16",40.6235170900205,-73.9936085624694,65,49
"17",40.62529741,-73.9600209185522,10,67
"18",40.6254564780942,-74.1422184397412,126,85
"19",40.6266674377156,-74.0815253505688,20,109
"20",40.6329314515472,-73.9235437415094,39,53
"21",40.6342430711053,-73.9091184728684,56,38
"22",40.6351825546512,-74.0178713423488,99,43
"23",40.6354700578677,-73.9477723240367,108,136
"24",40.6375839113572,-73.8914854342619,91,42
"25",40.6380668238948,-73.9746647662807,15,57
"26",40.6400713265962,-74.0042641283077,57,52
"27",40.6453165623001,-73.9012173911833,137,60
"28",40.6475285122039,-73.9605545433009,64,103
"29",40.6480610244684,-73.9258885037468,96,79
"30",40.6527870479118,-74.0061735232647,68,34
"31",40.652856026394,-73.9491180650909,130,66
"32",40.6570649872113,-73.885206832662,120,71
"33",40.6601946351048,-73.9229553312952,92,105
"34",40.660992054138,-73.9602065879655,47,58
"35",40.6619358403241,-73.9042212599166,82,108
"36",40.6651931886548,-73.9469495998452,58,84
"37",40.6667081489551,-73.8927451156966,142,89
"38",40.6670982925834,-73.98610570665,72,60
"39",40.6681228739515,-73.931573925864,61,103
"40",40.6685095957081,-73.9131092178321,23,137
"41",40.6688046203954,-73.7497025232171,43,129
"42",40.6700253738473,-73.8770552348472,129,72
"43",40.6723899913715,-73.9606845594429,109,70
"44",40.6732850070728,-73.8631213058545,54,55
"45",40.6750584301225,-73.7926322670204,51,49
"46",40.6759432590001,-76.834130782,97,1
"47",40.6773579614387,-73.8888878169474,148,57
"48",40.6775872412667,-73.7731604363333,28,90
"49",40.6795066981299,-73.8151005337142,73,77
"50",40.6808450774777,-73.9495191504626,110,67
"51",40.6809316746437,-73.8458741724137,87,87
"52",40.6814892630102,-73.9077226352626,42,99
"53",40.6816970210423,-73.8717919564507,150,71
"54",40.6822927368975,-73.9967021190256,103,78
"55",40.6826775473377,-73.8314737032987,85,77
"56",40.6828114689131,-73.9333054415869,101,92
"57",40.6841998886832,-73.9742044653592,16,142
"58",40.6854906464832,-73.9210975447415,41,89
"59",40.689431451125,-73.9618969643181,32,88
"60",40.6923439677223,-73.8004314581111,132,36
"61",40.6933703582075,-73.9823237764518,128,135
"62",40.6935255725253,-73.9435317750101,81,99
"63",40.6938994724329,-73.7865548014627,141,67
"64",40.6945435825715,-73.8556501531142,117,35
"65",40.6970651168062,-73.9301478754286,135,98
"66",40.6973964157751,-73.8309040967625,95,80
"67",40.7018802020091,-73.9143229923603,80,111
"68",40.702350135079,-73.9006390071974,121,76
"69",40.705255380247,-73.9443602427099,104,162
"70",40.7053785186293,-73.8075633428764,29,89
"71",40.7065079661915,-73.7949989915957,84,94
"72",40.7065296691513,-73.747673316353,114,119
"73",40.712658564203,-73.7745697271159,35,69
"74",40.7132891339776,-73.7998089552022,14,89
"75",40.7135254767302,-74.0058488882857,118,63
"76",40.7150966069241,-73.9556410005823,131,79
"77",40.7158680069883,-73.9910870407647,37,85
"78",40.7210241448966,-73.9798195945517,30,58
"79",40.7222144303334,-73.8873393097083,17,24
"80",40.7249851972122,-73.8514417336667,77,66
"81",40.7278430076853,-74.0012079021111,26,54
"82",40.7313089691843,-73.813884096,100,76
"83",40.7332444281411,-73.9854457744615,44,78
"84",40.7364754810556,-73.7297519419074,18,54
"85",40.7365208650435,-73.7884329597391,60,23
"86",40.7420889700492,-73.9989926351147,50,61
"87",40.7454207192817,-73.8656548880493,146,142
"88",40.7467738618236,-73.9867425967058,7,51
"89",40.7481879135801,-73.93832730857,138,100
"90",40.7499950676191,-73.9760232406905,112,42
"91",40.7507455280608,-73.8853529260946,133,148
"92",40.753664532091,-73.9938200468182,93,33
"93",40.7546950664187,-73.760314253,2,43
"94",40.7564082269604,-73.8270543903564,136,101
"95",40.7570365780251,-73.9872874827999,67,40
"96",40.761487153142,-73.9210240907871,143,155
"97",40.7631678928889,-73.9671172552963,22,27
"98",40.7654205640001,-73.9856856982456,48,57
"99",40.7675260046061,-73.7856574780303,144,33
"100",40.7759712218966,-73.9828340343448,70,29
"101",40.7774546485095,-73.9546813233962,45,53
"102",40.7808851676667,-73.8275497876667,59,18
"103",40.7841220793637,-73.9764578575682,140,44
"104",40.7871294988182,-73.9650874608181,75,22
"105",40.7903099885286,-73.9453454868214,46,140
"106",40.793350889451,-73.9711724906078,106,51
"107",40.7991323038125,-73.9378112020803,19,112
"108",40.8011595175417,-73.9637067445694,62,72
"109",40.8025285850129,-73.9507266119615,34,78
"110",40.8111880546345,-73.9426923340108,76,93
"111",40.8113573071355,-73.9164450692083,53,96
"112",40.812823977732,-73.9535076041959,11,97
"113",40.8130801247693,-73.925104049782,52,78
"114",40.8145078597161,-73.906491926716,25,81
"115",40.8201099355455,-73.8582491077546,124,110
"116",40.8215172035544,-73.9494906614456,33,92
"117",40.8224881013819,-73.9013256795454,4,110
"118",40.8229731828001,-73.9146373827625,125,80
"119",40.8234438694075,-73.9399034950247,89,81
"120",40.8241303921019,-73.8908575683518,122,108
"121",40.827148721602,-73.8732933327669,79,103
"122",40.8273205120817,-73.9240700415306,6,49
"123",40.8295139170698,-73.8236845835581,21,43
"124",40.8333609566286,-73.9071498875857,27,70
"125",40.8349024480606,-73.9403094768788,40,66
"126",40.835589328625,-73.854515754725,147,80
"127",40.835767526623,-73.8960704750163,8,61
"128",40.8377303678724,-73.9226862754893,1,47
"129",40.8377614447015,-73.914840129597,3,67
"130",40.8395195993405,-73.8812319355107,86,94
"131",40.8431794461312,-73.9059757604754,55,61
"132",40.8435413328001,-73.8665031339333,66,60
"133",40.8457624429639,-73.8414215120481,88,83
"134",40.8473729567827,-73.8890552616522,90,92
"135",40.8478462490001,-73.9355829933684,98,57
"136",40.8501850540254,-73.9144276116962,105,79
"137",40.8514218236185,-73.902545086671,115,76
"138",40.8569181704706,-73.9309054236176,5,34
"139",40.8597962107106,-73.890205725614,24,114
"140",40.8608929003721,-73.9027108913604,149,86
"141",40.8627751970209,-73.865351457375,9,96
"142",40.8639305196875,-73.921803193375,111,32
"143",40.8689741095695,-73.8965694381806,83,72
"144",40.8691869288195,-73.8467027797083,127,72
"145",40.8737959619048,-73.831944933619,94,63
"146",40.8752401093729,-73.8810402795677,36,118
"147",40.8817140376165,-73.9059716343013,13,73
"148",40.8830336292339,-73.8602176304757,107,124
"149",40.8868542552603,-73.8434596583835,113,73
"150",40.8977448792601,-73.8534890772,139,50
